Field=#~Integer~#~50|Field=Case/Package~String~Case/Package~53|Field=Category~String~Category~53|Field=Description~String~Description~53|Field=Footprint~String~Footprint~53|Field=LibRef~String~LibRef~53|Field=Manufacturer 1~String~Manufacturer 1~53|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~53|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~53|Field=Quantity~Integer~Quantity~53|Field=Supplier 1~String~Supplier 1~53|Field=Supplier Currency 1~String~Supplier Currency 1~53|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~53|Field=Supplier Part Number 1~String~Supplier Part Number 1~53|Field=Supplier Stock 1~Integer~Supplier Stock 1~53|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~53|Field=Supplier Subtotal per Board 1~Float~Supplier Subtotal per Board 1~53|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~54|ReportField=Currency~USD|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~EEG_circuit.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Projects\EEG_circuit\EEG_circuit\Group49\_schematics\EEG_circuit.PrjPcb|ReportField=Title~Bill of Materials For Project [EEG_circuit.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~8:45:23 AM|ReportField=ReportDate~2020-02-11|ReportField=ReportDateTime~2020-02-11 8:45:23 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~60|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~040932b0c9735d794494394fcdac425d82b912b4|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2020-02-11|ReportField=CurrentTime~8:36:21 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\Projects\EEG_circuit\EEG_circuit\Group49\_schematics\EEG_schematic.SchDoc|ReportField=DocumentName~EEG_schematic.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2020-02-03|ReportField=Organization~|ReportField=ProjectName~EEG_circuit.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~EEG_circuit.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\EEG_circuit\EEG_circuit\Group49\_schematics\EEG_circuit.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|||CONN HEADER SMD 2POS 2MM|Battery_Conn|B2B-PH-SM4-TBT(LF)(SN)|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DJST%26mpn%3DB2B-PH-SM4-TBT%2528LF%2529%2528SN%2529%26seller%3DDigi-Key%26sku%3D455-2872-6-ND%26country%3DCA%26channel%3DBOM%2520Report%26{URL.TEXT}JST{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DJST%26mpn%3DB2B-PH-SM4-TBT%2528LF%2529%2528SN%2529%26seller%3DDigi-Key%26sku%3D455-2872-6-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}B2B-PH-SM4-TBT(LF)(SN){URL.TIP}Manufacturer|1|Digi-Key|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DJST%26mpn%3DB2B-PH-SM4-TBT%2528LF%2529%2528SN%2529%26seller%3DDigi-Key%26sku%3D455-2872-6-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}455-2872-6-ND{URL.TIP}Supplier|0|||
2|||GLOBAL CONNECTOR TECHNOLOGY         MEM2067-02-180-00-A             MEMORY CARD CONNECTOR, 8 POSITION|SD_Conn|MEM2067-02-180-00-A|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DGlobal%2520Connector%2520Technology%26mpn%3DMEM2067-02-180-00-A%26seller%3DDigi-Key%26sku%3D2073-MEM2067-02-180-00-ACT-ND%26country%3DCA%26channel%3DBOM%2520Report%26{URL.TEXT}Global%20Connector%20Technology{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DGlobal%2520Connector%2520Technology%26mpn%3DMEM2067-02-180-00-A%26seller%3DDigi-Key%26sku%3D2073-MEM2067-02-180-00-ACT-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MEM2067-02-180-00-A{URL.TIP}Manufacturer|1|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DGlobal%2520Connector%2520Technology%26mpn%3DMEM2067-02-180-00-A%26seller%3DDigi-Key%26sku%3D2073-MEM2067-02-180-00-ACT-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}2073-MEM2067-02-180-00-ACT-ND{URL.TIP}Supplier|2217|1.19|1.19|1.19
3|||MINI SPDT SLIDE SWITCH 6.7 X 2.7 MM PINS 4-9 ARE MOUNTING|SW_SPDT|450404015514|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D450404015514%26seller%3DDigi-Key%26sku%3D732-13665-6-ND%26country%3DCA%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|Unknown|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D450404015514%26seller%3DDigi-Key%26sku%3D732-13665-6-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}450404015514{URL.TIP}Manufacturer|1|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D450404015514%26seller%3DDigi-Key%26sku%3D732-13665-6-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}732-13665-6-ND{URL.TIP}Supplier|2530|0.75|0.75|0.75
4|||WURTH ELEKTRONIK         61300621121            Board-To-Board Connector, Vertical, WR-PHD Series, Through Hole, Header, 6 Contacts, 2.54 mm|6pin_Header|61300621121|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300621121%26seller%3DDigi-Key%26sku%3D732-5295-ND%26country%3DCA%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300621121%26seller%3DDigi-Key%26sku%3D732-5295-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300621121{URL.TIP}Manufacturer|1|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300621121%26seller%3DDigi-Key%26sku%3D732-5295-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}732-5295-ND{URL.TIP}Supplier|2581|0.54|0.54|0.54
5|||WURTH ELEKTRONIK         61301211121            Board-To-Board Connector, Vertical, WR-PHD Series, Through Hole, Header, 12 Contacts, 2.54 mm|HDR1X12|61301211121|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61301211121%26seller%3DDigi-Key%26sku%3D732-5323-ND%26country%3DCA%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61301211121%26seller%3DDigi-Key%26sku%3D732-5323-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61301211121{URL.TIP}Manufacturer|1|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61301211121%26seller%3DDigi-Key%26sku%3D732-5323-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}732-5323-ND{URL.TIP}Supplier|266|0.54|0.54|0.54
6|0402||RES ARRAY 4 RES 1.6K OHM 0804|Rarray|EXB-N8V162JX|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DEXB-N8V162JX%26seller%3DDigi-Key%26sku%3DY10162DKR-ND%26country%3DCA%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DEXB-N8V162JX%26seller%3DDigi-Key%26sku%3DY10162DKR-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}EXB-N8V162JX{URL.TIP}Manufacturer|3|Digi-Key|USD|3|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DEXB-N8V162JX%26seller%3DDigi-Key%26sku%3DY10162DKR-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}Y10162DKR-ND{URL.TIP}Supplier|21269|0.33|0.33|0.11
7|0402||Resistor|0402resistor|Res1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0402FR-071ML%252C%2520RC0402JR-070RL%252C%2520RC0402FR-07453KL%252C%2520RC0402FR-07100KL%252C%2520RC0402JR-071M6L%252C%2520RC0402JR-07180KL%252C%2520RC0402FR-0710KL%252C%2520RC0402FR-071KL%252C%2520RC0402JR-07470KL%26seller%3DDigi-Key%26sku%3D311-1.00MLRCT-ND%252C%2520311-0.0JRDKR-ND%252C%2520YAG3164DKR-ND%252C%2520311-100KLRCT-ND%252C%2520YAG3284DKR-ND%252C%2520311-180KJRDKR-ND%252C%2520311-10.0KLRDKR-ND%252C%2520311-1.00KLRDKR-ND%252C%2520311-470KJRDKR-ND%26country%3DCA%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0402FR-071ML%252C%2520RC0402JR-070RL%252C%2520RC0402FR-07453KL%252C%2520RC0402FR-07100KL%252C%2520RC0402JR-071M6L%252C%2520RC0402JR-07180KL%252C%2520RC0402FR-0710KL%252C%2520RC0402FR-071KL%252C%2520RC0402JR-07470KL%26seller%3DDigi-Key%26sku%3D311-1.00MLRCT-ND%252C%2520311-0.0JRDKR-ND%252C%2520YAG3164DKR-ND%252C%2520311-100KLRCT-ND%252C%2520YAG3284DKR-ND%252C%2520311-180KJRDKR-ND%252C%2520311-10.0KLRDKR-ND%252C%2520311-1.00KLRDKR-ND%252C%2520311-470KJRDKR-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}RC0402FR-071ML,%20RC0402JR-070RL,%20RC0402FR-07453KL,%20RC0402FR-07100KL,%20RC0402JR-071M6L,%20RC0402JR-07180KL,%20RC0402FR-0710KL,%20RC0402FR-071KL,%20RC0402JR-07470KL{URL.TIP}Manufacturer|16|Digi-Key|USD|16|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0402FR-071ML%252C%2520RC0402JR-070RL%252C%2520RC0402FR-07453KL%252C%2520RC0402FR-07100KL%252C%2520RC0402JR-071M6L%252C%2520RC0402JR-07180KL%252C%2520RC0402FR-0710KL%252C%2520RC0402FR-071KL%252C%2520RC0402JR-07470KL%26seller%3DDigi-Key%26sku%3D311-1.00MLRCT-ND%252C%2520311-0.0JRDKR-ND%252C%2520YAG3164DKR-ND%252C%2520311-100KLRCT-ND%252C%2520YAG3284DKR-ND%252C%2520311-180KJRDKR-ND%252C%2520311-10.0KLRDKR-ND%252C%2520311-1.00KLRDKR-ND%252C%2520311-470KJRDKR-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-1.00MLRCT-ND,%20311-0.0JRDKR-ND,%20YAG3164DKR-ND,%20311-100KLRCT-ND,%20YAG3284DKR-ND,%20311-180KJRDKR-ND,%20311-10.0KLRDKR-ND,%20311-1.00KLRDKR-ND,%20311-470KJRDKR-ND{URL.TIP}Supplier||0.26|0.26|0.02
8|0402, 1206, [NoParam]||Capacitor|0402resistor, 1206resistor|Cap|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%252C%2520Samsung%252C%2520KEMET%26mpn%3DGRM153R61A105ME95D%252C%2520CL05A104KP5NNNC%252C%2520CL05B152KB5NNNC%252C%2520GRM155R61A475MEAAD%252C%2520CL05A106MP5NUNC%252C%2520GRM31CR60J107ME39L%252C%2520C0402C180K5RAC7867%26seller%3DDigi-Key%26sku%3D490-14577-6-ND%252C%25201276-1022-6-ND%252C%25201276-1521-6-ND%252C%2520490-14306-6-ND%252C%25201276-1450-6-ND%252C%2520490-4539-6-ND%252C%2520399-19371-6-ND%26country%3DCA%26channel%3DBOM%2520Report%26{URL.TEXT}Murata,%20Samsung,%20KEMET{URL.TIP}Component|Volume Production, Unknown|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%252C%2520Samsung%252C%2520KEMET%26mpn%3DGRM153R61A105ME95D%252C%2520CL05A104KP5NNNC%252C%2520CL05B152KB5NNNC%252C%2520GRM155R61A475MEAAD%252C%2520CL05A106MP5NUNC%252C%2520GRM31CR60J107ME39L%252C%2520C0402C180K5RAC7867%26seller%3DDigi-Key%26sku%3D490-14577-6-ND%252C%25201276-1022-6-ND%252C%25201276-1521-6-ND%252C%2520490-14306-6-ND%252C%25201276-1450-6-ND%252C%2520490-4539-6-ND%252C%2520399-19371-6-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GRM153R61A105ME95D,%20CL05A104KP5NNNC,%20CL05B152KB5NNNC,%20GRM155R61A475MEAAD,%20CL05A106MP5NUNC,%20GRM31CR60J107ME39L,%20C0402C180K5RAC7867{URL.TIP}Manufacturer|23|Digi-Key|USD|23|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%252C%2520Samsung%252C%2520KEMET%26mpn%3DGRM153R61A105ME95D%252C%2520CL05A104KP5NNNC%252C%2520CL05B152KB5NNNC%252C%2520GRM155R61A475MEAAD%252C%2520CL05A106MP5NUNC%252C%2520GRM31CR60J107ME39L%252C%2520C0402C180K5RAC7867%26seller%3DDigi-Key%26sku%3D490-14577-6-ND%252C%25201276-1022-6-ND%252C%25201276-1521-6-ND%252C%2520490-14306-6-ND%252C%25201276-1450-6-ND%252C%2520490-4539-6-ND%252C%2520399-19371-6-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-14577-6-ND,%201276-1022-6-ND,%201276-1521-6-ND,%20490-14306-6-ND,%201276-1450-6-ND,%20490-4539-6-ND,%20399-19371-6-ND{URL.TIP}Supplier||3.01|3.01|0.13
9|0603||Inductor|0603INDUCTOR|Inductor|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DMLZ1608A2R2WT000%252C%2520MLZ1608M4R7WT000%26seller%3DDigi-Key%26sku%3D445-6385-6-ND%252C%2520445-6390-6-ND%26country%3DCA%26channel%3DBOM%2520Report%26{URL.TEXT}TDK{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DMLZ1608A2R2WT000%252C%2520MLZ1608M4R7WT000%26seller%3DDigi-Key%26sku%3D445-6385-6-ND%252C%2520445-6390-6-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MLZ1608A2R2WT000,%20MLZ1608M4R7WT000{URL.TIP}Manufacturer|2|Digi-Key|USD|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DMLZ1608A2R2WT000%252C%2520MLZ1608M4R7WT000%26seller%3DDigi-Key%26sku%3D445-6385-6-ND%252C%2520445-6390-6-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}445-6385-6-ND,%20445-6390-6-ND{URL.TIP}Supplier||0.34|0.34|0.17
10|0603||LED BLUE CLEAR CHIP SMD|LED|LED1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Lite-On%26mpn%3DLTST-C193TBKT-5A%26seller%3DDigi-Key%26sku%3D160-1827-1-ND%26country%3DCA%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Lite-On{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Lite-On%26mpn%3DLTST-C193TBKT-5A%26seller%3DDigi-Key%26sku%3D160-1827-1-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}LTST-C193TBKT-5A{URL.TIP}Manufacturer|1|Digi-Key|USD|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Lite-On%26mpn%3DLTST-C193TBKT-5A%26seller%3DDigi-Key%26sku%3D160-1827-1-ND%26country%3DCA%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}160-1827-1-ND{URL.TIP}Supplier|136805|0.45|0.45|0.45
