Altium Designer Pick and Place Locations
C:\Users\dmerl\Documents\4th Year\ELEC491\repo\Group49\_schematics\Project Outputs for EEG_circuit\Pick Place\Pick Place for EEG_PCB.txt

========================================================================================================================
File Design Information:

Date:       17-02-20
Time:       09:47
Revision:   5629d1e705216185a8f5eb612def5834cb6777c1
Variant:    No variations
Units used: mil

Designator Comment                            Layer       Footprint         Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                     
U4         "TPS61073 Boost"                   BottomLayer SOT23-6           1340.551      1242.126      270      "IC REG BOOST ADJ 0.5A SYNC SOT6"                                                                                                               
L1         2_2uH_Inductor                     BottomLayer 0603INDUCTOR      645.669       1109.331      360      "FIXED IND 2.2UH 500MA 250 MOHM"                                                                                                                
J2         "CONN HEADER VERT 2X6 2.54MM"      TopLayer    HDR1X12           1645.669      649.213       0        "WURTH ELEKTRONIK         61301211121            Board-To-Board Connector, Vertical, WR-PHD Series, Through Hole, Header, 12 Contacts, 2.54 mm" 
U9         "RES ARRAY 4 RES 1.6K OHM 0804"    TopLayer    Rarray            1511.811      773.622       0        "RES ARRAY 4 RES 1.6K OHM 0804"                                                                                                                 
U6         "RES ARRAY 4 RES 1.6K OHM 0804"    TopLayer    Rarray            1511.811      509.842       0        "RES ARRAY 4 RES 1.6K OHM 0804"                                                                                                                 
U3         "RES ARRAY 4 RES 1.6K OHM 0804"    TopLayer    Rarray            1511.811      1041.339      360      "RES ARRAY 4 RES 1.6K OHM 0804"                                                                                                                 
U1         "ADS1299IPAGR AFE"                 TopLayer    64-TQFP           1147.638      776.575       180      "IC AFE 24BIT 16KSPS LN 64TQFP"                                                                                                                 
Y1         XTAL                               TopLayer    3X5MM_XTAL        594.488       198.819       270      "Crystal Oscillator"                                                                                                                            
U8         "PIC32MX250F128B MCU"              TopLayer    SSOP28            502.953       622.047       90       "MICROCHIP - PIC32MX250F128B-I/SS - MCU, 32BIT, PIC32, 40MHZ, SSOP-28"                                                                          
U7         "CAP ARRAY 1000PF 50V X7R 0612"    BottomLayer Cap_array         1525.591      641.732       180      "YAGEO (PHYCOMP)         CA0612KRX7R9BB102             Capacitor Array, C-Array, 1000 pF, 50 V,  10%, SMD, 4 Element"                           
U5         "CAP ARRAY 1000PF 50V X7R 0612"    BottomLayer Cap_array         1525.591      909.449       180      "YAGEO (PHYCOMP)         CA0612KRX7R9BB102             Capacitor Array, C-Array, 1000 pF, 50 V,  10%, SMD, 4 Element"                           
U2         "AP3417C BUCK"                     BottomLayer SOT23_BUCK        492.126       1160.512      180      "IC REG BUCK ADJ 1A SYNC SOT25"                                                                                                                 
SW2        "SWITCH TACTILE SPST-NO 0.05A 16V" TopLayer    BasicTwoPinSwitch 754.921       186.024       90       "SWITCH TACTILE SPST-NO 0.05A 16V"                                                                                                              
SW1        "SWITCH TACTILE SPST-NO 0.05A 16V" TopLayer    BasicTwoPinSwitch 229.331       186.024       270      "SWITCH TACTILE SPST-NO 0.05A 16V"                                                                                                              
SW3        "MINI SPDT SWITCH"                 TopLayer    SW_SPDT           147.638       1102.362      90       "MINI SPDT SLIDE SWITCH 6.7 X 2.7 MM 
PINS 4-9 ARE MOUNTING"                                                                                   
R16        1M_Res                             TopLayer    0402RESISTOR      485.236       204.724       90       "RES SMD 1M OHM 1% 1/16W 0402"                                                                                                                  
R15        1k_Res                             TopLayer    0402RESISTOR      389.764       86.614        90       "RES SMD 1K OHM 1% 1/16W 0402"                                                                                                                  
R14        470k_Res                           TopLayer    0402RESISTOR      866.142       255.905       90       "RES SMD 470K OHM 5% 1/16W 0402"                                                                                                                
R13        1k_Res                             TopLayer    0402RESISTOR      208.661       354.331       180      "RES SMD 1K OHM 1% 1/16W 0402"                                                                                                                  
R12        10k_Res                            TopLayer    0402RESISTOR      188.976       448.819       90       "RES SMD 10K OHM 1% 1/16W 0402"                                                                                                                 
R11        100k_Res                           TopLayer    0402RESISTOR      791.338       799.213       0        "RES SMD 100K OHM 1% 1/16W 0402"                                                                                                                
R10        180k_Res                           BottomLayer 0402RESISTOR      1401.575      1125.984      360      "RES SMD 180K OHM 5% 1/16W 0402"                                                                                                                
R9         1_6M_Res                           BottomLayer 0402RESISTOR      1515.748      1145.669      90       "RES SMD 1.6M OHM 5% 1/16W 0402"                                                                                                                
R8         100k_Res                           TopLayer    0402RESISTOR      791.338       665.354       180      "RES SMD 100K OHM 1% 1/16W 0402"                                                                                                                
R7         100k_Res                           TopLayer    0402RESISTOR      791.338       732.284       180      "RES SMD 100K OHM 1% 1/16W 0402"                                                                                                                
R6         100k_Res                           BottomLayer 0402RESISTOR      354.331       1197.913      360      "RES SMD 100K OHM 1% 1/16W 0402"                                                                                                                
R5         100k_Res                           TopLayer    0402RESISTOR      791.338       599.213       180      "RES SMD 100K OHM 1% 1/16W 0402"                                                                                                                
R4         453k_Res                           BottomLayer 0402RESISTOR      673.228       1232.284      360      "RES SMD 453K OHM 1% 1/16W 0402"                                                                                                                
R3         0_Res                              TopLayer    0402RESISTOR      1232.283      429.134       270      "RES SMD 0 OHM JUMPER 1/16W 0402"                                                                                                               
R2         0_Res                              TopLayer    0402RESISTOR      1366.142      429.134       360      "RES SMD 0 OHM JUMPER 1/16W 0402"                                                                                                               
R1         1M_Res                             TopLayer    0402RESISTOR      1388.779      338.583       90       "RES SMD 1M OHM 1% 1/16W 0402"                                                                                                                  
L2         4_7uH_Inductor                     BottomLayer 0603INDUCTOR      1098.425      1263.780      90       Inductor                                                                                                                                        
J4         "CONN HEADER VERT 6POS 2.54MM"     TopLayer    6PIN_HEADER       1140.157      160.236       270      "WURTH ELEKTRONIK         61300621121            Board-To-Board Connector, Vertical, WR-PHD Series, Through Hole, Header, 6 Contacts, 2.54 mm"  
J3         "MICROSD CONNECTOR"                BottomLayer SD_Conn           275.591       328.543       90       "GLOBAL CONNECTOR TECHNOLOGY         MEM2067-02-180-00-A             MEMORY CARD CONNECTOR, 8 POSITION"                                         
